id,title,input_type,categories,image_name,audio_name,correct_letters,correct_answer_text,all_choices,explanation,permalink
143,"You are the driver of the blue car. Of the four hazards marked, which one is most likely to require you to take urgent action?",Radio,car:behaviour; heavy_vehicle:behaviour; motorbike:behaviour,143-behaviour.jpg,143a.mp3,B,The child on your side of the road,A. The man on the opposite side of the road | B. The child on your side of the road | C. The parked car on your side of the road | D. The parked car on the opposite side of the road,"Identifying pedestrian hazards on the road Looking at the stretch of road in the diagram there are several possible hazards. The hitchhiker at A is hitching in a place where drivers should have their attention elsewhere: on the pedestrian crossing. Any driver picking the hitchhiker up would have to pull in very sharply around the red car on the left, or would end up parking on the pedestrian crossing, which is illegal - you must not park or stop your vehicle on or nearer than 6m to the approach side of a pedestrian crossing &nbsp;unless there are marked bays. As the person hitching a lift is on the other side of the road, they most likely won't create a hazard for you. The child at B is the obvious hazard. Children can be unpredictable on roads as they can be distracted easily, they don't have an understanding of driving and they aren't as good at judging the speed of approaching vehicles. The vehicle at C could become a hazard if it was indicating to pull out from behind vehicle D. You will have to look to see if you can see any intention. You might see a driver's head turning around to check the blind spots, or the wheels starting to turn to move away from the kerb. As the vehicle is fairly close to the red car D it might reverse slightly before moving away and you would see its reversing lights. C also creates a blind spot between it and vehicle D. This might be obscuring&nbsp;another child. If vehicle D wants to move away from the kerb, its view out of the rear view mirror will be obstructed, however, the driver should be able to see you in the wing mirror and perhaps by looking over his shoulder.",you-are-the-driver-of-the-blue-car-of-th4
144,What is the safest way to drive up to intersections?,Radio,car:behaviour; heavy_vehicle:behaviour; motorbike:behaviour,,144a.mp3,C,At such a speed that you can stop if you have to,A. Looking to the left | B. Travelling at the speed limit | C. At such a speed that you can stop if you have to | D. Looking to the right | E. Checking in your rear view mirror,"Driving safely in and around intersections Checking to the left When turning left at an intersection you should give a glance to your left just to check there's nothing there like a cyclist or motorcyclist.&nbsp; Checking behind you Looking behind you is important. For example, if another vehicle is following you very closely be very careful about turning into driveways as it's easy for them to not be paying attention and run into the back of you. You can start slowing down more quickly to help them adjust their speed. As you turn, you can also glance in your rear view mirror to check there's nothing bearing down on you. Check twice for bikes You will check to your right and ahead, too. Always look at least twice because this gives you a much greater chance of seeing smaller road users like cyclists and scooters, especially when the light is poor.&nbsp; Queuing at an intersection If you are waiting in a queue of traffic entering an intersection don't be fooled by a driver pulling away, thinking that you can go, too. Many minor nose-to-tail accidents happen when a driver moves forward and then quickly stops. The driver behind sees the driver ahead move forwards and also starts to move forwards. The following driver looks to the right and doesn't realise the driver ahead has now stopped and runs into the back of him. Stop signs Observe stop signs. If you have stopped behind one or more other vehicles at an intersection with a stop sign you must stop when it is your turn at the intersection.&nbsp; Giving way to turning pedestrians Be careful that there are not crossing pedestrians when you turn. You might see this sign if there are likely to be pedestrians, although by law you must give way to all pedestrians who are already crossing on the road. Signalling before an intersection When driving up to the intersection signal your intention for at least three seconds if you are turning. If you are passing straight through an intersection check left and right in case another vehicle runs a red light, or is likely to pull out in front of you. In busy traffic, vehicles might be trying to pull out of an intersection in difficult conditions - this is especially bad on wet nights. If you see someone struggling to get out of an intersection you can always slow down or stop to let them in if it's safe.&nbsp; Driving up to an intersection with traffic lights If you are driving up to an intersection with traffic lights you should be scanning (looking) well ahead. If you can see that the lights are green in the distance there's a good chance that they will be red by the time you get to the intersection, therefore be prepared to stop.&nbsp; If the lights are red ahead and you know the phasing, you might be able to anticipate the green light and adjust your speed to conserve momentum. Don't get caught out having to brake too late, though, and be careful of red light runners.",what-is-the-safest-way-to-drive-up-to-in
145,"If you are driving a car, what should you do when following another vehicle in wet conditions?",Radio,car:behaviour; heavy_vehicle:behaviour; motorbike:behaviour,,145.mp3,B,Observe the four-second rule,A. Observe the two-second rule | B. Observe the four-second rule | C. Observe the six-second rule | D. Try to overtake so that you are not blinded by the spray,"How to safely drive around vehicles when it's wet or slippery You should double the normal following distance, to be safe. This means you should use the four-second rule - count four seconds between a point on the road that the car in front passes until you pass that point. If you're driving a heavy vehicle or towing a large trailer, you should increase this time further. If you are riding a motorbike be aware that white lines can be extremely slippery when wet, and any oil and surface grime will lengthen your braking distance. If someone is following you closely, you might want to back off even more to give some extra buffer. A vehicle ahead of you will kick up spray if the rain has been heavy. This is especially problematic with older heavy vehicles that have less effective aerodynamics and mudflaps, and vehicles towing large trailers.&nbsp; In heavy spray the vehicle ahead of you will have reduced visibility of you, too, as the rear window could be covered in water.&nbsp; If you are driving through deep standing water then you will need to dry your brakes or they will provide very little braking power.&nbsp; Assume that other vehicles haven't seen you, and use your lights if the spray is heavy. You can see in the following video how quickly vehicles in the fast lane disappear into the spray once they've overtaken. Try to avoid driving near the edge of the road as you are more likely to get a puncture in the wet because the kinds of sharp objects that get swept to the road shoulders or run down the cross fall in the rain are more slippery and can penetrate the tyre rubber more easily. Wet roads when it's sunny can cause problems with glare if you are driving towards the sun. Driving at night when it's wet At night wet weather can make it even more difficult to judge the distance and speed of traffic, as you can see in this photo, which is at dusk on Victoria Street West in Auckland.&nbsp;",what-should-you-do-when-following-anothe
146,What should you do when there are animals coming towards you on the road?,Radio,car:behaviour; heavy_vehicle:behaviour; motorbike:behaviour,,146a.mp3,B,Slow down or pull over to the left until the animals have moved past you,A. Flash your lights - the animals will see this and move out of the way | B. Slow down or pull over to the left until the animals have moved past you | C. Sound your horn to help move the animals | D. Get a passenger to clear a path through the animals,"How to drive when farm animals are on the road When there are farm animals coming towards you on the road slow down or pull over until the animals have moved past you. New Zealand has a huge network of rural roads and agriculture is important. It's likely that you will eventually come across either a herd of cows or flock of sheep being moved between paddocks, or the occasional escaped farm animal. In areas where there are regularly animals on the road you will see one of the following signs. If you come across farm animals, follow any instructions the farmer gives you. It's best to slow right down, or even stop, until the animals are past your vehicle. If you come across a lone animal what is most likely to happen is that it will run up the road. This is because the animal's blind spot is behind its head and it runs away from 'danger'. If it turns around it sees an object coming towards it. If it is one animal then a passenger can sometimes help move the animal off the road.&nbsp; If you come across a cow or sheep on the road in the dark, the best way to encourage it to move is to turn your lights off and move slowly towards it. The animal will be able to see its way onto the verge and will move out of the way. However, you need to be careful that another vehicle isn't coming which&nbsp;won't be able to see your vehicle.&nbsp; Don't chase escaped livestock towards a cattle grid. How should farmers move livestock? Always follow the farmer's instructions. Farmers will be planning ahead for the move and will be trying to minimise their herds' exposure to the road, while attempting to take the most efficient route. Farmers tend to try to avoid morning and afternoon peak times, and only do it during daylight hours.&nbsp; Farmers should also try to avoid well-maintained road verges. Anyone involved in moving stock should be wearing high-visiblity clothing that can be easily seen by other motorists. On roads with bends a pilot vehicle with flashing amber beacon lights and warning signs&nbsp;are used. Farmers moving stock on local roads or highways need a traffic management plan which they obtain from NZTA.",what-should-you-do-when-there-are-farm-a
147,What should you do when you are coming up to traffic signals and the signals change from green to yellow?,Radio,car:behaviour; heavy_vehicle:behaviour; motorbike:behaviour,,147.mp3,B,Stop if it's safe to do so,A. Speed up to get through the lights | B. Stop if it's safe to do so | C. Stop if you are more than 20 metres from the intersection,"The amber or yellow traffic light comes after a green light and indicates that the lights are just about to turn red. &nbsp;You should stop if it's safe to do so, and this will vary according to the road conditions, the braking ability of your car, and the ability for people behind you to stop. How long do traffic lights stay on? The length of time that the yellow light displays depends on the speed of the intersection. A typical yellow light in an urban area lasts for approximately four seconds. We timed several downtown Auckland lights to come up with an average of 3.8 seconds. In the UK, yellow lights are 1 second per 10mph (16kph) speed limit. Using the same logic the equation would be 1 second every 13.2kph at least for the amber lights we measured. Yellow traffic lights on faster streets may stay on longer because it takes longer for vehicles to stop. Red and green traffic lights have variable phases, depending on the intersection. More roads joining the intersection will mean a longer red phase. A minor road entering a major intersection could have a very short green phase because there might only ever be one or two vehicles waiting at any one time, whereas a large intersection with a main road travelling through it could see very long green phases on the main road.",what-should-you-do-when-you-are-coming-u
148,"Before crossing a railway level crossing, what should you do? Select all that apply.",Checkbox,car:behaviour; heavy_vehicle:behaviour; motorbike:behaviour,,148.mp3,"A, B, C",Look left and right up the tracks / Check there's room for your vehicle on the other side of the crossing / Make sure there are no barriers or red flashing lights,A. Look left and right up the tracks | B. Check there's room for your vehicle on the other side of the crossing | C. Make sure there are no barriers or red flashing lights | D. Check there's a speed limit sign on the other side of the crossing,"How to cross a railway level crossing safely If there are stop signs at the crossing it's an indication that you can't see far enough up the track to make a judgement about whether to cross before you get there, and it's a compulsory stop (i.e. it's against the law not to stop). There are thousands of near misses each year with vehicles and pedestrians trying to get across tracks before the train comes. Because a train is huge, it's estimated that people's perception of its speed is 10-20kph less than its actual speed. This means the train can be bearing down on you much more rapidly than you thought. There must be room the other side of the tracks for your vehicle. It's particularly important if you are driving a long vehicle or towing a trailer because you might think you have cleared the crossing, but if your trailer is still in the way of the train the train won't be able to stop. It takes a train up to one kilometre to stop. If there are barrier arms down and lights flashing then you must wait until the lights have stopped flashing and the barrier arms go up before you continue. For more on railway crossing rules, regulations and signage, read this article .",before-crossing-a-railway-level-crossing
149,Is a load you are carrying on your vehicle permitted to drag on the ground?,Radio,car:behaviour; heavy_vehicle:behaviour; motorbike:behaviour,,149-2.mp3,A,No,A. No | B. Yes,"Carrying loads on a car, motorbike or trailer Loading a car Roof racks If you can't fit a load in your car, the safest ways are either to have a roof rack with a custom mounted box, or to use a trailer. When not carrying a load on a roof rack, remove it so that your car is more aerodynamic. Your vehicle's manual will tell you how much you can safely carry on a roof rack. The roof rack manufacturer will specify the maximum load of the rack. You will also need to look for one that suits the shape and size of your vehicle. Not all vehicles can have roof racks fitted easily. If you are carrying loads on your roof rack your load must not extend more than 3 metres forward of the front edge of the front seat or four metres behind the rear axle. The maximum length of your car plus load must not exceed 12.6m. Distribute any load on the roof between the bars and centrally and make sure it is tied down well. Here's how not to carry a mattress The load must not extend more than 1.25 metres either side from the centre line of the vehicle.&nbsp; If your load extends behind the back of your vehicle by more than 1m then you'll need to attach a white, or fluorescent orange, red or yellow flag of at least 40x30cm in size. Loads must be tied down and should not be able to bounce around. Carrying loads in the tray of a ute When carrying loads inside your vehicle, or a on the tray of a ute or trailer, spread the load evenly to keep the height as low as possible. Put larger, heavier items at the bottom, and arrange items so that they don't move about when you turn corners, brake or accelerate. Arrange loads so that they don't project outside of the body of the vehicle, if possible. Cover them if they will be affected by the wind (see the trailer section below). Heavy items such as gas cylinders and tool boxes should be restrained very well, preferably against a cage to stop them moving forward in the event of an accident. Carrying loads on a motorbike Small loads can be carried safely with the proper positioning and fastening. Any heavy items will affect the stability and handling of your motorbike, so it is best to keep these as low as possible especially on lighter bikes.&nbsp; Of course, your load should not drag on the ground because this can create a hazard for other road users if something breaks off, and it could catch in a groove in the tarmac and flip you off your motorbike. For lower loads, be careful that they won't touch the ground when you are leaning over for a corner. The load must also be secure. Riding with a load balanced on your handlebars is dangerous as it can move around, and you will have less control over the bike because you will need to manage the load. Secure them in saddlebags, tank bags or panniers, or under the seat if you have space there. If you have a small luggage rack on the back of the bike then fasten it with either a strop or elastic cords, but make sure the ends of these don't hang down and risk getting caught in your wheel or chain as this can lock the wheel causing you to skid. Keeping the load central helps with balance. Your load should not extend more than 50cm either side of the centre line of your motorbike. It also must not project more than one metre in front of the front wheel or more than one metre behind the rear wheel. Distributing the load evenly will help with your balance. Rather than putting the whole load in one saddlebag, divide it in two. If this isn't possible, you could add extra load to the opposite saddlebag. Carrying an uneven load can cause the bike to pull to one side, and makes it much more difficult to control on bumpy surfaces. Check the load whenever you stop to make sure it hasn't moved. Towing a trailer using your motorbike If you trailer including its load is up to half the weight of your motorbike the maximum speed limit is 90kphg. If your trailer including its load is over half the weight of your motorbike the maximum speed is 40kph. Carrying loads on a light trailer Loads in a trailer must be secured and not able to bounce out of the trailer, or fall over the sides. It's preferable that they are in compartments that are rigidly attached to the trailer. If not, they should be in a cradle or frame designed for the load. If this isn't possible they should be held in by lashings (webbing, strops, ropes or chains) that are securely fixed to anchor points. The lashing capacity is half of its breaking strength, e.g. if the breaking strength is 200kg, the lashing capacity is 100kg. The lashing capacity must be at least twice the weight of the load, so you will need to use as many lashings as necessary to achieve this figure. If you are carrying a loose load, for example, gravel, then the load must remain 100mm below the edge of the trailer. If the load could be affected by airflow then you will need to cover it with netting or a tarpaulin. The types of loads that might need covering are garden waste, silt, sand, gravel, builders mix, wood chips and general rubbish. Goods or animals on your trailer must be placed where they won't injure anyone or distract you while you are driving. Position the load so that the heaviest items are as close to the axle as possible, and balanced. You don't want to have too much load up the front of the trailer as it puts too much stress on the towball. You also don't want all the load on the back of the trailer otherwise it tries to lift the towball and this will give you less grip in the rear of your car. You want some downward force on the towball to keep the connection. If you remove any of the load part way through the journey you might need to rearrange the goods to rebalance the load. You will need to anticipate whether you should take extra strops or ropes to account for this before you leave. This video shows an example of how a load, which is flat and resting on the deck of the trailer, can be lifted by the wind. Towing capacity Your vehicle will have a rated towing capacity for an unbraked trailer (usually 750kg) and a trailer with brakes (which could be anything up to 3500kg) depending on the weight of your vehicle, the chassis strength and the power of the brakes. For more information about carrying loads in a trailer read our guide to towing loads , or visit NZTA's guide to safe towing . Carrying loads on a heavy vehicle Check out our main article about carrying loads in heavy vehicles &nbsp;as there are many more regulations.",can-a-load-you-are-carrying-in-your-vehi
150,Does the driver of the blue car have to give way?,Radio,car:intersection; heavy_vehicle:intersection; motorbike:intersection,150-intersection.jpg,150.mp3,B,No,A. Yes | B. No,"The Give Way Rules in New Zealand Let's look at a number of examples of giving way which can help you determine what to do at many kinds of intersections in New Zealand (and around the world). If you've been confused about the rules before, these simple examples will help you learn them easily. The basic give way rules are: Give way to your right at roundabouts Give way to vehicles coming from straight ahead if you are turning right Give way to vehicles turning left if you are turning right Give way to all vehicles on the top of a T-intersection if you are on the bottom of the T A driveway is treated like an uncontrolled intersection If you deviate from the centre line, generally you have to give way At a stop sign, you have the least priority and all other vehicles have the right of way before you, unless they are at stop signs, too, in which case the give way rules apply A police officer's directions overrule any give way or stop signs. Intersection examples In all examples, let's look at it from the point of view of you driving the blue car. You are&nbsp;turning out of an uncontrolled intersection and must give way to the red car coming from the right. If this was a controlled intersection then you'd have to either stop at a stop sign or wait at a give way sign until it was safe to go. You are driving straight ahead in the blue car across the top of the T-intersection. The red car has to give way to you because it is turning right across your path. While the general rule is give way to the right at an uncontrolled intersection, that only applies at a crossroads. In this case, you are on the bottom of the T, and the red car has right of way as it is coming across the top of the T-junction. At a controlled intersection you would either be waiting at a stop sign or a give way sign. The red car is coming from straight ahead and you are turning right therefore you must let it past before you can turn. Even though the red car is on the right, it is waiting at a give way sign and you are passing straight through the junction. Therefore you have the right of way. The same would apply if it was waiting at a stop sign. You are turning left and the red car is turning right and would have to cross your path. This used to be the rule in New Zealand until it was changed in 2012. Now, you have the right of way and can turn before the red car. You are turning right and so is the red car. Which one gives way? The red car is on the bottom of the T-intersection (imagine rotating the picture 90 degrees clockwise). You are driving on the top of the T therefore you can go. You are turning left and there's a red car coming from your right along the road. You have to wait because you are on the bottom of the T. This is a tricky one. It's an uncontrolled intersection and both of you are travelling straight ahead. Who has to give way? The rules are that you give way to the right when there are no other controls like a stop sign, therefore the red car must stop and wait for you. Remember our stop sign rule. At an uncontrolled intersection or one where you were both waiting at a give way sign, you would have right of way. However, you are waiting at a stop sign and that means that the red car has priority, even though it's turning across in front of you. When both cars are turning right at an uncontrolled intersection (which includes many driveways and entrances to public car parks that don't have markings), you must give way to vehicles on the straight road (i.e. the top of the T). The blue car has right of way - the red car must wait for you to turn. Even though you have a green light, so does the red car, and it is heading straight through the intersection while you want to turn, therefore you have to wait. You both have a green light, but because you are turning left you can go first. You both have a green light but the motorbike is turning left, therefore you must wait for it before you can turn. In this scenario neither car needs to cross each other's path. Both are on a green light. If this was an uncontrolled intersection this manoeuvre is actually safer when the cars pass behind one another rather than in front. This is because when passing like in the diagram, your vision up the road to the left is obscured. On a roundabout you always give way to the right, so you have to wait for the red car. The red car must give way to you as you are coming from its right, passing straight through the roundabout. In this case you are deviating from the centre line, even though you want to drive straight ahead. The red car has right of way. Both of you can complete your manoeuvre without interfering with each other's trajectories. Queuing across intersections You are not permitted to queue across an intersection if there is a yellow hatched box painted on the road. In the example above, the vehicle at C can cross the intersection because there is room the other side of the red box. The vehicle at B also has room, although not as much. The vehicle at A waits so that the intersection is not blocked. Blocking an intersection is frustrating for other traffic as it can hold it up on the other side of the road. Drivers in queued traffic are likely to try to move out of the queue, which then means unnecessary lane changes which put them in danger.",does-the-driver-of-the-blue-car-have-to-
151,Does the driver of the blue car have to give way?,Radio,car:intersection; heavy_vehicle:intersection; motorbike:intersection,151-intersection.jpg,151.mp3,A,Yes,A. Yes | B. No,"The Give Way Rules in New Zealand Let's look at a number of examples of giving way which can help you determine what to do at many kinds of intersections in New Zealand (and around the world). If you've been confused about the rules before, these simple examples will help you learn them easily. The basic give way rules are: Give way to your right at roundabouts Give way to vehicles coming from straight ahead if you are turning right Give way to vehicles turning left if you are turning right Give way to all vehicles on the top of a T-intersection if you are on the bottom of the T A driveway is treated like an uncontrolled intersection If you deviate from the centre line, generally you have to give way At a stop sign, you have the least priority and all other vehicles have the right of way before you, unless they are at stop signs, too, in which case the give way rules apply A police officer's directions overrule any give way or stop signs. Intersection examples In all examples, let's look at it from the point of view of you driving the blue car. You are&nbsp;turning out of an uncontrolled intersection and must give way to the red car coming from the right. If this was a controlled intersection then you'd have to either stop at a stop sign or wait at a give way sign until it was safe to go. You are driving straight ahead in the blue car across the top of the T-intersection. The red car has to give way to you because it is turning right across your path. While the general rule is give way to the right at an uncontrolled intersection, that only applies at a crossroads. In this case, you are on the bottom of the T, and the red car has right of way as it is coming across the top of the T-junction. At a controlled intersection you would either be waiting at a stop sign or a give way sign. The red car is coming from straight ahead and you are turning right therefore you must let it past before you can turn. Even though the red car is on the right, it is waiting at a give way sign and you are passing straight through the junction. Therefore you have the right of way. The same would apply if it was waiting at a stop sign. You are turning left and the red car is turning right and would have to cross your path. This used to be the rule in New Zealand until it was changed in 2012. Now, you have the right of way and can turn before the red car. You are turning right and so is the red car. Which one gives way? The red car is on the bottom of the T-intersection (imagine rotating the picture 90 degrees clockwise). You are driving on the top of the T therefore you can go. You are turning left and there's a red car coming from your right along the road. You have to wait because you are on the bottom of the T. This is a tricky one. It's an uncontrolled intersection and both of you are travelling straight ahead. Who has to give way? The rules are that you give way to the right when there are no other controls like a stop sign, therefore the red car must stop and wait for you. Remember our stop sign rule. At an uncontrolled intersection or one where you were both waiting at a give way sign, you would have right of way. However, you are waiting at a stop sign and that means that the red car has priority, even though it's turning across in front of you. When both cars are turning right at an uncontrolled intersection (which includes many driveways and entrances to public car parks that don't have markings), you must give way to vehicles on the straight road (i.e. the top of the T). The blue car has right of way - the red car must wait for you to turn. Even though you have a green light, so does the red car, and it is heading straight through the intersection while you want to turn, therefore you have to wait. You both have a green light, but because you are turning left you can go first. You both have a green light but the motorbike is turning left, therefore you must wait for it before you can turn. In this scenario neither car needs to cross each other's path. Both are on a green light. If this was an uncontrolled intersection this manoeuvre is actually safer when the cars pass behind one another rather than in front. This is because when passing like in the diagram, your vision up the road to the left is obscured. On a roundabout you always give way to the right, so you have to wait for the red car. The red car must give way to you as you are coming from its right, passing straight through the roundabout. In this case you are deviating from the centre line, even though you want to drive straight ahead. The red car has right of way. Both of you can complete your manoeuvre without interfering with each other's trajectories. Queuing across intersections You are not permitted to queue across an intersection if there is a yellow hatched box painted on the road. In the example above, the vehicle at C can cross the intersection because there is room the other side of the red box. The vehicle at B also has room, although not as much. The vehicle at A waits so that the intersection is not blocked. Blocking an intersection is frustrating for other traffic as it can hold it up on the other side of the road. Drivers in queued traffic are likely to try to move out of the queue, which then means unnecessary lane changes which put them in danger.",does-the-driver-of-the-blue-car-have-to-1
152,Does the driver of the blue car have to give way?,Radio,car:intersection; heavy_vehicle:intersection; motorbike:intersection,152-intersection.jpg,152.mp3,B,No,A. Yes | B. No,"The Give Way Rules in New Zealand Let's look at a number of examples of giving way which can help you determine what to do at many kinds of intersections in New Zealand (and around the world). If you've been confused about the rules before, these simple examples will help you learn them easily. The basic give way rules are: Give way to your right at roundabouts Give way to vehicles coming from straight ahead if you are turning right Give way to vehicles turning left if you are turning right Give way to all vehicles on the top of a T-intersection if you are on the bottom of the T A driveway is treated like an uncontrolled intersection If you deviate from the centre line, generally you have to give way At a stop sign, you have the least priority and all other vehicles have the right of way before you, unless they are at stop signs, too, in which case the give way rules apply A police officer's directions overrule any give way or stop signs. Intersection examples In all examples, let's look at it from the point of view of you driving the blue car. You are&nbsp;turning out of an uncontrolled intersection and must give way to the red car coming from the right. If this was a controlled intersection then you'd have to either stop at a stop sign or wait at a give way sign until it was safe to go. You are driving straight ahead in the blue car across the top of the T-intersection. The red car has to give way to you because it is turning right across your path. While the general rule is give way to the right at an uncontrolled intersection, that only applies at a crossroads. In this case, you are on the bottom of the T, and the red car has right of way as it is coming across the top of the T-junction. At a controlled intersection you would either be waiting at a stop sign or a give way sign. The red car is coming from straight ahead and you are turning right therefore you must let it past before you can turn. Even though the red car is on the right, it is waiting at a give way sign and you are passing straight through the junction. Therefore you have the right of way. The same would apply if it was waiting at a stop sign. You are turning left and the red car is turning right and would have to cross your path. This used to be the rule in New Zealand until it was changed in 2012. Now, you have the right of way and can turn before the red car. You are turning right and so is the red car. Which one gives way? The red car is on the bottom of the T-intersection (imagine rotating the picture 90 degrees clockwise). You are driving on the top of the T therefore you can go. You are turning left and there's a red car coming from your right along the road. You have to wait because you are on the bottom of the T. This is a tricky one. It's an uncontrolled intersection and both of you are travelling straight ahead. Who has to give way? The rules are that you give way to the right when there are no other controls like a stop sign, therefore the red car must stop and wait for you. Remember our stop sign rule. At an uncontrolled intersection or one where you were both waiting at a give way sign, you would have right of way. However, you are waiting at a stop sign and that means that the red car has priority, even though it's turning across in front of you. When both cars are turning right at an uncontrolled intersection (which includes many driveways and entrances to public car parks that don't have markings), you must give way to vehicles on the straight road (i.e. the top of the T). The blue car has right of way - the red car must wait for you to turn. Even though you have a green light, so does the red car, and it is heading straight through the intersection while you want to turn, therefore you have to wait. You both have a green light, but because you are turning left you can go first. You both have a green light but the motorbike is turning left, therefore you must wait for it before you can turn. In this scenario neither car needs to cross each other's path. Both are on a green light. If this was an uncontrolled intersection this manoeuvre is actually safer when the cars pass behind one another rather than in front. This is because when passing like in the diagram, your vision up the road to the left is obscured. On a roundabout you always give way to the right, so you have to wait for the red car. The red car must give way to you as you are coming from its right, passing straight through the roundabout. In this case you are deviating from the centre line, even though you want to drive straight ahead. The red car has right of way. Both of you can complete your manoeuvre without interfering with each other's trajectories. Queuing across intersections You are not permitted to queue across an intersection if there is a yellow hatched box painted on the road. In the example above, the vehicle at C can cross the intersection because there is room the other side of the red box. The vehicle at B also has room, although not as much. The vehicle at A waits so that the intersection is not blocked. Blocking an intersection is frustrating for other traffic as it can hold it up on the other side of the road. Drivers in queued traffic are likely to try to move out of the queue, which then means unnecessary lane changes which put them in danger.",does-the-driver-of-the-blue-car-have-to-2
153,Does the driver of the blue car have to give way?,Radio,car:intersection; heavy_vehicle:intersection; motorbike:intersection,153-intersection.jpg,153.mp3,A,Yes,A. Yes | B. No,"The Give Way Rules in New Zealand Let's look at a number of examples of giving way which can help you determine what to do at many kinds of intersections in New Zealand (and around the world). If you've been confused about the rules before, these simple examples will help you learn them easily. The basic give way rules are: Give way to your right at roundabouts Give way to vehicles coming from straight ahead if you are turning right Give way to vehicles turning left if you are turning right Give way to all vehicles on the top of a T-intersection if you are on the bottom of the T A driveway is treated like an uncontrolled intersection If you deviate from the centre line, generally you have to give way At a stop sign, you have the least priority and all other vehicles have the right of way before you, unless they are at stop signs, too, in which case the give way rules apply A police officer's directions overrule any give way or stop signs. Intersection examples In all examples, let's look at it from the point of view of you driving the blue car. You are&nbsp;turning out of an uncontrolled intersection and must give way to the red car coming from the right. If this was a controlled intersection then you'd have to either stop at a stop sign or wait at a give way sign until it was safe to go. You are driving straight ahead in the blue car across the top of the T-intersection. The red car has to give way to you because it is turning right across your path. While the general rule is give way to the right at an uncontrolled intersection, that only applies at a crossroads. In this case, you are on the bottom of the T, and the red car has right of way as it is coming across the top of the T-junction. At a controlled intersection you would either be waiting at a stop sign or a give way sign. The red car is coming from straight ahead and you are turning right therefore you must let it past before you can turn. Even though the red car is on the right, it is waiting at a give way sign and you are passing straight through the junction. Therefore you have the right of way. The same would apply if it was waiting at a stop sign. You are turning left and the red car is turning right and would have to cross your path. This used to be the rule in New Zealand until it was changed in 2012. Now, you have the right of way and can turn before the red car. You are turning right and so is the red car. Which one gives way? The red car is on the bottom of the T-intersection (imagine rotating the picture 90 degrees clockwise). You are driving on the top of the T therefore you can go. You are turning left and there's a red car coming from your right along the road. You have to wait because you are on the bottom of the T. This is a tricky one. It's an uncontrolled intersection and both of you are travelling straight ahead. Who has to give way? The rules are that you give way to the right when there are no other controls like a stop sign, therefore the red car must stop and wait for you. Remember our stop sign rule. At an uncontrolled intersection or one where you were both waiting at a give way sign, you would have right of way. However, you are waiting at a stop sign and that means that the red car has priority, even though it's turning across in front of you. When both cars are turning right at an uncontrolled intersection (which includes many driveways and entrances to public car parks that don't have markings), you must give way to vehicles on the straight road (i.e. the top of the T). The blue car has right of way - the red car must wait for you to turn. Even though you have a green light, so does the red car, and it is heading straight through the intersection while you want to turn, therefore you have to wait. You both have a green light, but because you are turning left you can go first. You both have a green light but the motorbike is turning left, therefore you must wait for it before you can turn. In this scenario neither car needs to cross each other's path. Both are on a green light. If this was an uncontrolled intersection this manoeuvre is actually safer when the cars pass behind one another rather than in front. This is because when passing like in the diagram, your vision up the road to the left is obscured. On a roundabout you always give way to the right, so you have to wait for the red car. The red car must give way to you as you are coming from its right, passing straight through the roundabout. In this case you are deviating from the centre line, even though you want to drive straight ahead. The red car has right of way. Both of you can complete your manoeuvre without interfering with each other's trajectories. Queuing across intersections You are not permitted to queue across an intersection if there is a yellow hatched box painted on the road. In the example above, the vehicle at C can cross the intersection because there is room the other side of the red box. The vehicle at B also has room, although not as much. The vehicle at A waits so that the intersection is not blocked. Blocking an intersection is frustrating for other traffic as it can hold it up on the other side of the road. Drivers in queued traffic are likely to try to move out of the queue, which then means unnecessary lane changes which put them in danger.",does-the-driver-of-the-blue-car-have-to-3
